location.x|location.y|location.z|vector.x|vector.y|vector.z|Route
66.7489|-170.2766|0.1959|1.0|0.0057|0.0|-
66.7689|-173.7766|0.1959|-1.0|-0.0057|-0.0|-
71.7489|-170.2482|0.1959|1.0|0.0057|0.0|-
71.7688|-173.7481|0.1959|-1.0|-0.0057|-0.0|-
76.7488|-170.2197|0.1959|1.0|0.0057|0.0|-
76.7687|-173.7197|0.1959|-1.0|-0.0057|-0.0|-
81.7487|-170.1913|0.1959|1.0|0.0057|0.0|-
81.7686|-173.6912|0.1959|-1.0|-0.0057|-0.0|-
86.7486|-170.1628|0.1959|1.0|0.0057|0.0|-
86.7686|-173.6627|0.1959|-1.0|-0.0057|-0.0|-
91.7485|-170.1343|0.1959|1.0|0.0057|0.0|-
91.7685|-173.6343|0.1959|-1.0|-0.0057|-0.0|-
96.7485|-170.1059|0.1959|1.0|0.0057|0.0|-
96.7684|-173.6058|0.1959|-1.0|-0.0057|-0.0|-
101.7484|-170.0774|0.1959|1.0|0.0057|0.0|-
101.7683|-173.5773|0.1959|-1.0|-0.0057|-0.0|-
106.7483|-170.049|0.1959|1.0|0.0057|0.0|-
106.7682|-173.5489|0.1959|-1.0|-0.0057|-0.0|-
111.7482|-170.0205|0.1959|1.0|0.0057|0.0|-
111.7681|-173.5204|0.1959|-1.0|-0.0057|-0.0|-
116.7481|-169.992|0.1959|1.0|0.0057|0.0|-
116.7681|-173.492|0.1959|-1.0|-0.0057|-0.0|-
121.7481|-169.9636|0.1959|1.0|0.0057|0.0|-
121.768|-173.4635|0.1959|-1.0|-0.0057|-0.0|-
314.5877|-180.2978|0.0043|0.0089|-1.0|-0.0|-
314.5432|-175.298|0.0043|0.0089|-1.0|-0.0|-
314.4986|-170.2982|0.0043|0.0089|-1.0|-0.0|-
314.454|-165.2984|0.0043|0.0089|-1.0|-0.0|-
211.3118|-307.88|0.0043|0.9999|0.0103|0.0|-
211.3478|-311.3798|0.0043|-0.9999|-0.0103|-0.0|-
216.3115|-307.8285|0.0043|0.9999|0.0103|0.0|-
216.3476|-311.3283|0.0043|-0.9999|-0.0103|-0.0|-
221.3112|-307.777|0.0043|0.9999|0.0103|0.0|-
221.3473|-311.2769|0.0043|-0.9999|-0.0103|-0.0|-
226.311|-307.7256|0.0043|0.9999|0.0103|0.0|-
226.347|-311.2254|0.0043|-0.9999|-0.0103|-0.0|-
231.3107|-307.6741|0.0043|0.9999|0.0103|0.0|-
231.3468|-311.1739|0.0043|-0.9999|-0.0103|-0.0|-
236.3105|-307.6227|0.0043|0.9999|0.0103|0.0|-
236.3465|-311.1225|0.0043|-0.9999|-0.0103|-0.0|-
241.3102|-307.5712|0.0043|0.9999|0.0103|0.0|-
241.3462|-311.071|0.0043|-0.9999|-0.0103|-0.0|-
246.3099|-307.5197|0.0043|0.9999|0.0103|0.0|-
246.346|-311.0195|0.0043|-0.9999|-0.0103|-0.0|-
192.4889|-169.5609|0.1959|1.0|0.0057|0.0|-
198.2622|-171.4611|0.1424|0.7696|-0.6359|-0.0575|-
201.7931|-176.144|0.0196|0.3462|-0.9381|0.0|-
263.3051|-307.3448|0.0043|0.9999|0.0103|0.0|-
263.3412|-310.8446|0.0043|-0.9999|-0.0103|-0.0|-
268.3049|-307.2933|0.0043|0.9999|0.0103|0.0|-
268.3409|-310.7931|0.0043|-0.9999|-0.0103|-0.0|-
273.3046|-307.2418|0.0043|0.9999|0.0103|0.0|-
273.3406|-310.7416|0.0043|-0.9999|-0.0103|-0.0|-
278.3044|-307.1904|0.0043|0.9999|0.0103|0.0|-
278.3404|-310.6902|0.0043|-0.9999|-0.0103|-0.0|-
283.2961|-307.1387|0.0043|0.9999|0.0149|0.0|-
283.3481|-310.6383|0.0043|-0.9999|-0.0149|-0.0|-
287.9329|-306.6322|0.0043|0.9795|0.2014|0.0|-
288.6376|-310.0605|0.0043|-0.9795|-0.2014|-0.0|-
292.3934|-305.2686|0.0043|0.9247|0.3808|0.0|-
293.7261|-308.505|0.0043|-0.9247|-0.3808|-0.0|-
296.5209|-303.0959|0.0043|0.8373|0.5468|0.0|-
298.4345|-306.0265|0.0043|-0.8373|-0.5468|-0.0|-
300.1699|-300.1906|0.0043|0.7204|0.6935|0.0|-
302.5972|-302.7122|0.0043|-0.7204|-0.6935|-0.0|-
303.212|-296.6548|0.0043|0.5782|0.8159|0.0|-
306.0676|-298.6787|0.0043|-0.5782|-0.8159|-0.0|-
305.6076|-292.5668|0.0043|0.4526|0.8917|0.0|-
308.7286|-294.1509|0.0043|-0.4526|-0.8917|-0.0|-
307.6194|-288.1523|0.0043|0.3761|0.9266|0.0|-
310.8625|-289.4685|0.0043|-0.3761|-0.9266|-0.0|-
309.2532|-283.5843|0.0043|0.2969|0.9549|0.0|-
312.5954|-284.6234|0.0043|-0.2969|-0.9549|-0.0|-
310.4973|-278.8952|0.0043|0.2156|0.9765|0.0|-
313.9151|-279.6497|0.0043|-0.2156|-0.9765|-0.0|-
311.3431|-274.1181|0.0043|0.1328|0.9911|0.0|-
314.8121|-274.5828|0.0043|-0.1328|-0.9911|-0.0|-
311.7844|-269.2869|0.0043|0.049|0.9988|0.0|-
315.2802|-269.4584|0.0043|-0.049|-0.9988|-0.0|-
311.8375|-264.3895|0.0043|-0.0089|1.0|0.0|-
315.3374|-264.3583|0.0043|0.0089|-1.0|-0.0|-
311.7929|-259.3897|0.0043|-0.0089|1.0|0.0|-
315.2928|-259.3585|0.0043|0.0089|-1.0|-0.0|-
319.2497|-222.8425|0.0043|-0.421|-0.9071|0.0|-
316.9792|-226.9429|0.0043|-0.5721|-0.8202|0.0|-
315.0541|-232.588|0.0043|0.0089|-1.0|0.0|-
311.6085|-238.7118|0.0043|-0.0089|1.0|0.0|-
315.1084|-238.6806|0.0043|0.0089|-1.0|-0.0|-
311.5639|-233.712|0.0043|-0.0089|1.0|0.0|-
315.0638|-233.6808|0.0043|0.0089|-1.0|-0.0|-
311.459|-221.9469|0.0043|-0.0089|1.0|0.0|-
314.9589|-221.9157|0.0043|0.0089|-1.0|-0.0|-
311.4144|-216.9471|0.0043|-0.0089|1.0|0.0|-
314.9143|-216.9159|0.0043|0.0089|-1.0|-0.0|-
311.3698|-211.9473|0.0043|-0.0089|1.0|0.0|-
314.8697|-211.9161|0.0043|0.0089|-1.0|-0.0|-
311.3253|-206.9475|0.0043|-0.0089|1.0|0.0|-
314.8251|-206.9163|0.0043|0.0089|-1.0|-0.0|-
311.2807|-201.9477|0.0043|-0.0089|1.0|0.0|-
314.7805|-201.9165|0.0043|0.0089|-1.0|-0.0|-
311.2361|-196.9479|0.0043|-0.0089|1.0|0.0|-
314.736|-196.9167|0.0043|0.0089|-1.0|-0.0|-
311.1915|-191.9481|0.0043|-0.0089|1.0|0.0|-
314.6914|-191.9169|0.0043|0.0089|-1.0|-0.0|-
311.1469|-186.9483|0.0043|-0.0089|1.0|0.0|-
314.6468|-186.9171|0.0043|0.0089|-1.0|-0.0|-
311.1023|-181.9485|0.0043|-0.0089|1.0|0.0|-
314.6022|-181.9173|0.0043|0.0089|-1.0|-0.0|-
310.9175|-161.2277|0.0043|-0.0089|1.0|0.0|-
314.4174|-161.1964|0.0043|0.0089|-1.0|-0.0|-
310.8729|-156.2279|0.0043|-0.0089|1.0|0.0|-
314.3728|-156.1966|0.0043|0.0089|-1.0|-0.0|-
310.8283|-151.2281|0.0043|-0.0089|1.0|0.0|-
314.3282|-151.1968|0.0043|0.0089|-1.0|-0.0|-
310.7838|-146.2283|0.0043|-0.0089|1.0|0.0|-
314.2836|-146.197|0.0043|0.0089|-1.0|-0.0|-
310.7392|-141.2285|0.0043|-0.0089|1.0|0.0|-
314.239|-141.1972|0.0043|0.0089|-1.0|-0.0|-
310.6946|-136.2287|0.0043|-0.0089|1.0|0.0|-
314.1945|-136.1974|0.0043|0.0089|-1.0|-0.0|-
310.65|-131.2289|0.0043|-0.0089|1.0|0.0|-
314.1499|-131.1976|0.0043|0.0089|-1.0|-0.0|-
255.1386|-238.2994|0.0196|-0.0031|1.0|-0.0|-
255.1541|-243.2993|0.0196|-0.0031|1.0|-0.0|-
255.1695|-248.2993|0.0196|-0.0031|1.0|-0.0|-
255.1849|-253.2993|0.0196|-0.0031|1.0|-0.0|-
310.4872|-112.973|0.0043|-0.0089|1.0|0.0|-
313.9871|-112.9418|0.0043|0.0089|-1.0|-0.0|-
310.4426|-107.9732|0.0043|-0.0089|1.0|0.0|-
313.9425|-107.942|0.0043|0.0089|-1.0|-0.0|-
310.398|-102.9734|0.0043|-0.0089|1.0|0.0|-
313.8979|-102.9422|0.0043|0.0089|-1.0|-0.0|-
310.3535|-97.9736|0.0043|-0.0089|1.0|0.0|-
313.8533|-97.9424|0.0043|0.0089|-1.0|-0.0|-
310.3089|-92.9738|0.0043|-0.0089|1.0|0.0|-
313.8087|-92.9426|0.0043|0.0089|-1.0|-0.0|-
310.2643|-87.974|0.0043|-0.0089|1.0|0.0|-
313.7642|-87.9427|0.0043|0.0089|-1.0|-0.0|-
310.293|-82.8256|0.0043|0.0768|0.9971|0.0|-
313.7827|-83.0942|0.0043|-0.0768|-0.9971|-0.0|-
311.4383|-77.4922|0.0043|0.3394|0.9407|0.0|-
314.7306|-78.68|0.0043|-0.3394|-0.9407|-0.0|-
313.9618|-72.6561|0.0043|0.5775|0.8164|0.0|-
316.8192|-74.6773|0.0043|-0.5775|-0.8164|-0.0|-
317.6815|-68.6661|0.0043|0.7739|0.6333|0.0|-
