feat 0 | feat 1 | feat 2 | feat 3 | feat 4 | visited | brake | releasebrake | 
26,666666666666668 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 
28,51 | 0 | 0 | 0,1 | 0 | 50001 | -8345,28 | -926,32 | 
30,51 | 0 | 0 | 0,2 | 0 | 50001 | -8588,25 | -936,45 | 
32,51 | 0 | 0 | 0,3 | 0 | 50001 | -9572,42 | -946,95 | 
34,51 | 0 | 0 | 0,4 | 0 | 37662 | -959,98 | -6104,03 | 
36,51 | 0 | 0 | 0,5 | 0 | 37662 | -6309,43 | -977,86 | 
38,51 | 0 | 0 | 0,6 | 0 | 37662 | -7479,51 | -999,84 | 
40,51 | 0 | 0 | 0,7 | 0 | 32315 | -5671,63 | -1025,13 | 
41,51 | 0 | 0 | 0,8 | 0 | 32315 | -1052,09 | -5805,68 | 
42,51 | 0 | 0 | 0,9 | 0 | 28035 | -5973,26 | -1079,75 | 
43,51 | 0 | 0 | 1,0 | 0 | 28035 | -1105,19 | -6085,42 | 
44,51 | 0 | 0 | 1,1 | 0 | 28035 | -6210,07 | -1128,05 | 
45,51 | 0 | 0 | 1,2 | 0 | 28035 | -1146,69 | -5170,26 | 
46,51 | 0 | 0 | 1,3 | 0 | 28035 | -1162,23 | -5933,65 | 
47,51 | 0 | 0 | 1,4 | 0 | 28035 | -6677,53 | -1175,43 | 
48,51 | 0 | 0 | 1,5 | 0 | 28035 | -6865,3 | -1186,47 | 
49,51 | 0 | 0 | 1,6 | 0 | 28029 | -1196,67 | -7048,42 | 
50,51 | 0 | 0 | 1,7 | 0 | 28013 | -7252,26 | -1208,22 | 
51,51 | 0 | 0 | 1,8 | 0 | 27043 | -1220,98 | -7430,31 | 
52,51 | 0 | 0 | 1,9 | 0 | 27034 | -1236,28 | -6512,9 | 
52,51 | 0 | 0 | 2,0 | 0 | 4941 | -10859,29 | -10935,07 | 
52,51 | 0 | 0 | 2,1 | 0 | 5993 | -8616,61 | -11306,77 | 
52,51 | 0 | 0 | 2,2 | 0 | 4442 | -7899,95 | -12114,06 | 
52,51 | 0 | 0 | 2,3 | 0 | 4047 | -12583,92 | -13601,17 | 
52,51 | 0 | 0 | 2,4 | 1 | 4047 | 0 | 0 | 
33,51 | 0 | 0 | 0,4 | 0 | 12339 | -11262,75 | -10839,82 | 
35,51 | 0 | 0 | 0,5 | 0 | 12339 | -12778,79 | -10769,51 | 
37,51 | 0 | 0 | 0,6 | 0 | 10955 | -10747,72 | -11193,94 | 
38,51 | 0 | 0 | 0,7 | 0 | 10955 | -10797,82 | -11213,42 | 
39,51 | 0 | 0 | 0,8 | 0 | 10955 | -10919,06 | -11484,73 | 
40,51 | 0 | 0 | 0,9 | 0 | 10955 | -11310,16 | -11081,24 | 
41,51 | 0 | 0 | 1,0 | 0 | 10955 | -11268,65 | -11233,62 | 
42,51 | 0 | 0 | 1,1 | 0 | 10955 | -11333,55 | -11347,33 | 
43,51 | 0 | 0 | 1,2 | 0 | 10955 | -11453,43 | -11465,29 | 
44,51 | 0 | 0 | 1,3 | 0 | 10955 | -11578,74 | -11590,43 | 
45,51 | 0 | 0 | 1,4 | 0 | 10955 | -12129,41 | -11669,45 | 
46,51 | 0 | 0 | 1,5 | 0 | 10795 | -11705,1 | -11710,75 | 
47,51 | 0 | 0 | 1,6 | 0 | 10125 | -11825,0 | -11724,79 | 
48,51 | 0 | 0 | 1,7 | 0 | 9936 | -11398,36 | -12479,49 | 
49,51 | 0 | 0 | 1,8 | 0 | 7822 | -13517,73 | -10594,16 | 
50,51 | 0 | 0 | 1,9 | 0 | 7287 | -11330,16 | -9898,2 | 
51,51 | 0 | 0 | 2,0 | 0 | 4988 | -10002,48 | -9348,92 | 
53,51 | 0 | 0 | 2,3 | 0 | 2807 | -9405,65 | -6736,17 | 
53,51 | 0 | 0 | 2,4 | 0 | 2804 | -6672,6 | -9415,73 | 
53,51 | 0 | 0 | 2,5 | 1 | 2804 | 0 | 0 | 
53,51 | 0 | 0 | 2,0 | 0 | 23692 | -6264,02 | -1253,75 | 
54,51 | 0 | 0 | 2,1 | 0 | 21463 | -5382,52 | -1271,42 | 
55,51 | 0 | 0 | 2,2 | 0 | 19089 | -1287,96 | -4641,45 | 
56,51 | 0 | 0 | 2,3 | 0 | 19079 | -1303,11 | -5097,59 | 
57,51 | 0 | 0 | 2,4 | 0 | 14737 | -3197,11 | -1316,14 | 
58,51 | 0 | 0 | 2,5 | 0 | 12874 | -1326,01 | -2173,61 | 
58,51 | 0 | 0 | 2,6 | 0 | 1755 | -3781,88 | -3023,47 | 
58,51 | 0 | 0 | 2,7 | 0 | 1997 | -2884,96 | -4546,34 | 
58,51 | 0 | 0 | 2,8 | 1 | 1173 | 0 | 0 | 
53,51 | 0 | 0 | 2,1 | 0 | 3318 | -8784,45 | -8026,67 | 
53,51 | 0 | 0 | 2,2 | 0 | 4147 | -7409,12 | -8861,18 | 
56,51 | 0 | 0 | 2,4 | 0 | 4820 | -4969,98 | -5567,85 | 
56,51 | 0 | 0 | 2,5 | 0 | 5165 | -5712,47 | -4997,68 | 
56,51 | 0 | 0 | 2,6 | 0 | 4686 | -6542,24 | -4989,57 | 
56,51 | 0 | 0 | 2,7 | 1 | 4686 | 0 | 0 | 
39,51 | 0 | 0 | 0,7 | 0 | 5347 | -9641,8 | -9713,49 | 
40,51 | 0 | 0 | 0,8 | 0 | 5347 | -9737,55 | -9991,53 | 
41,51 | 0 | 0 | 0,9 | 0 | 5347 | -9809,99 | -9805,68 | 
42,51 | 0 | 0 | 1,0 | 0 | 5347 | -9891,39 | -9907,71 | 
43,51 | 0 | 0 | 1,1 | 0 | 5347 | -10021,01 | -10042,51 | 
44,51 | 0 | 0 | 1,2 | 0 | 5347 | -10190,12 | -10211,98 | 
45,51 | 0 | 0 | 1,3 | 0 | 5347 | -10390,37 | -10426,26 | 
46,51 | 0 | 0 | 1,4 | 0 | 5347 | -10731,73 | -10680,67 | 
47,51 | 0 | 0 | 1,5 | 0 | 5318 | -11073,75 | -11051,98 | 
48,51 | 0 | 0 | 1,6 | 0 | 5133 | -11446,35 | -11098,89 | 
49,51 | 0 | 0 | 1,7 | 0 | 5099 | -10654,92 | -12277,52 | 
50,51 | 0 | 0 | 1,8 | 0 | 4378 | -9870,73 | -9239,03 | 
51,51 | 0 | 0 | 1,9 | 0 | 3529 | -9099,71 | -9544,03 | 
51,51 | 0 | 0 | 2,1 | 0 | 2865 | -9022,25 | -7922,53 | 
51,51 | 0 | 0 | 2,2 | 0 | 2859 | -9955,28 | -8259,09 | 
51,51 | 0 | 0 | 2,3 | 0 | 2791 | -9158,26 | -10656,53 | 
51,51 | 0 | 0 | 2,4 | 1 | 2791 | 0 | 0 | 
57,51 | 0 | 0 | 2,5 | 0 | 2218 | -3998,77 | -5308,79 | 
