feat 0 | feat 1 | feat 2 | visited | up | down | left | right
5 | 5 | 0 | 2228 | -9.0 | -11.0 | -9.0 | -11.0
6 | 5 | 0 | 1833 | -10.0 | -12.0 | -10.0 | -12.0
6 | 4 | 0 | 1560 | -9.0 | -11.0 | -9.0 | -11.0
6 | 3 | 0 | 1394 | -8.0 | -10.0 | -8.0 | -10.0
7 | 4 | 0 | 1205 | -10.0 | -12.0 | -10.0 | -12.0
8 | 4 | 0 | 1090 | -11.0 | -13.0 | -11.0 | -13.0
7 | 3 | 0 | 1211 | -9.0 | -11.0 | -9.0 | -11.0
7 | 2 | 0 | 1149 | -8.0 | -10.0 | -8.0 | -10.0
8 | 2 | 0 | 1079 | -9.0 | -11.0 | -9.0 | -11.0
6 | 2 | 0 | 1252 | -7.0 | -9.0 | -7.0 | -9.0
5 | 3 | 0 | 1536 | -7.0 | -9.0 | -7.0 | -9.0
4 | 3 | 0 | 1688 | -6.0 | -8.0 | -6.0 | -8.0
5 | 2 | 0 | 1389 | -6.0 | -8.0 | -6.0 | -8.0
5 | 4 | 0 | 2122 | -8.0 | -10.0 | -8.0 | -10.0
8 | 3 | 0 | 1087 | -10.0 | -12.0 | -10.0 | -12.0
9 | 3 | 0 | 964 | -11.0 | -12.0 | -11.0 | -13.0
9 | 2 | 0 | 957 | -10.0 | -11.0 | -10.0 | -12.0
9 | 1 | 0 | 970 | -9.0 | -10.0 | -9.0 | -11.0
9 | 0 | 0 | 946 | -8.0 | -9.0 | -9.0 | -10.0
8 | 0 | 0 | 1010 | -7.0 | -9.0 | -8.0 | -9.0
8 | 1 | 0 | 1051 | -8.0 | -10.0 | -8.0 | -10.0
9 | 4 | 0 | 1004 | -12.0 | -13.0 | -12.0 | -14.0
8 | 5 | 0 | 1043 | -12.0 | -14.0 | -12.0 | -14.0
9 | 5 | 0 | 912 | -13.0 | -14.0 | -13.0 | -15.0
9 | 6 | 0 | 862 | -14.0 | -15.0 | -14.0 | -16.0
8 | 6 | 0 | 939 | -13.0 | -15.0 | -13.0 | -15.0
7 | 6 | 0 | 1118 | -12.0 | -14.0 | -12.0 | -14.0
6 | 6 | 0 | 1438 | -11.0 | -13.0 | -11.0 | -13.0
4 | 5 | 0 | 4207 | -8.0 | -10.0 | -8.0 | -10.0
4 | 6 | 0 | 2108 | -9.0 | -11.0 | -9.0 | -11.0
4 | 4 | 0 | 2236 | -7.0 | -9.0 | -7.0 | -9.0
3 | 4 | 0 | 2405 | -6.0 | -8.0 | -6.0 | -8.0
3 | 3 | 0 | 1953 | -5.0 | -7.0 | -5.0 | -7.0
2 | 4 | 0 | 2838 | -5.0 | -7.0 | -5.0 | -7.0
2 | 3 | 0 | 2520 | -4.0 | -6.0 | -4.0 | -6.0
3 | 5 | 0 | 3718 | -7.0 | -9.0 | -7.0 | -9.0
7 | 5 | 0 | 1229 | -11.0 | -13.0 | -11.0 | -13.0
2 | 5 | 0 | 3542 | -6.0 | -8.0 | -6.0 | -8.0
2 | 6 | 0 | 2249 | -7.0 | -9.0 | -7.0 | -9.0
1 | 6 | 0 | 2615 | -6.0 | -8.0 | -6.0 | -8.0
0 | 6 | 0 | 1829 | -6.0 | -7.0 | -5.0 | -7.0
0 | 7 | 0 | 1426 | -7.0 | -8.0 | -6.0 | -8.0
1 | 7 | 0 | 1832 | -7.0 | -9.0 | -7.0 | -9.0
0 | 8 | 0 | 1110 | -8.0 | -9.0 | -7.0 | -9.0
1 | 8 | 0 | 1358 | -8.0 | -10.0 | -8.0 | -10.0
2 | 7 | 0 | 1620 | -8.0 | -10.0 | -8.0 | -10.0
0 | 5 | 0 | 2320 | -5.0 | -6.0 | -4.0 | -6.0
0 | 4 | 0 | 2719 | -4.0 | -5.0 | -3.0 | -5.0
0 | 3 | 0 | 3017 | -3.0 | -4.0 | -2.0 | -4.0
0 | 2 | 0 | 3123 | -2.0 | -3.0 | -1.0 | -3.0
0 | 1 | 0 | 4258 | -1.0 | -2.0 | 0.0 | -2.0
0 | 0 | 1 | 3003 | 0 | 0 | 0 | 0
5 | 6 | 0 | 2052 | -10.0 | -12.0 | -10.0 | -12.0
5 | 7 | 0 | 1327 | -11.0 | -13.0 | -11.0 | -13.0
5 | 8 | 0 | 1045 | -12.0 | -14.0 | -12.0 | -14.0
5 | 9 | 0 | 902 | -13.0 | -15.0 | -13.0 | -14.0
6 | 8 | 0 | 887 | -13.0 | -15.0 | -13.0 | -15.0
6 | 9 | 0 | 774 | -14.0 | -16.0 | -14.0 | -15.0
4 | 9 | 0 | 959 | -12.0 | -14.0 | -12.0 | -13.0
4 | 8 | 0 | 1134 | -11.0 | -13.0 | -11.0 | -13.0
3 | 8 | 0 | 1172 | -10.0 | -12.0 | -10.0 | -12.0
3 | 7 | 0 | 1566 | -9.0 | -11.0 | -9.0 | -11.0
3 | 9 | 0 | 1007 | -11.0 | -13.0 | -11.0 | -12.0
6 | 7 | 0 | 1136 | -12.0 | -14.0 | -12.0 | -14.0
7 | 1 | 0 | 1125 | -7.0 | -9.0 | -7.0 | -9.0
6 | 1 | 0 | 1210 | -6.0 | -8.0 | -6.0 | -8.0
5 | 1 | 0 | 1275 | -5.0 | -7.0 | -5.0 | -7.0
9 | 7 | 0 | 768 | -15.0 | -16.0 | -15.0 | -17.0
8 | 7 | 0 | 816 | -14.0 | -16.0 | -14.0 | -16.0
8 | 8 | 0 | 749 | -15.0 | -17.0 | -15.0 | -17.0
7 | 8 | 0 | 826 | -14.0 | -16.0 | -14.0 | -16.0
8 | 9 | 0 | 722 | -16.0 | -17.98 | -16.0 | -17.0
7 | 9 | 0 | 719 | -15.0 | -17.0 | -15.0 | -16.0
9 | 9 | 0 | 637 | -17.0 | -17.97 | -17.0 | -17.98
9 | 8 | 0 | 728 | -16.0 | -17.0 | -16.0 | -17.99
7 | 7 | 0 | 971 | -13.0 | -15.0 | -13.0 | -15.0
3 | 2 | 0 | 1673 | -4.0 | -6.0 | -4.0 | -6.0
3 | 6 | 0 | 2193 | -8.0 | -10.0 | -8.0 | -10.0
4 | 2 | 0 | 1488 | -5.0 | -7.0 | -5.0 | -7.0
4 | 1 | 0 | 1298 | -4.0 | -6.0 | -4.0 | -6.0
2 | 9 | 0 | 1064 | -10.0 | -12.0 | -10.0 | -11.0
1 | 9 | 0 | 1022 | -9.0 | -11.0 | -9.0 | -10.0
0 | 9 | 0 | 960 | -9.0 | -10.0 | -8.0 | -9.0
2 | 8 | 0 | 1268 | -9.0 | -11.0 | -9.0 | -11.0
4 | 7 | 0 | 1449 | -10.0 | -12.0 | -10.0 | -12.0
1 | 4 | 0 | 4768 | -4.0 | -6.0 | -4.0 | -6.0
1 | 5 | 0 | 4225 | -5.0 | -7.0 | -5.0 | -7.0
3 | 1 | 0 | 1380 | -3.0 | -5.0 | -3.0 | -5.0
7 | 0 | 0 | 1050 | -6.0 | -8.0 | -7.0 | -8.0
6 | 0 | 0 | 1119 | -5.0 | -7.0 | -6.0 | -7.0
5 | 0 | 0 | 1134 | -4.0 | -6.0 | -5.0 | -6.0
2 | 2 | 0 | 2073 | -3.0 | -5.0 | -3.0 | -5.0
2 | 1 | 0 | 1665 | -2.0 | -4.0 | -2.0 | -4.0
4 | 0 | 0 | 1122 | -3.0 | -5.0 | -4.0 | -5.0
3 | 0 | 0 | 1215 | -2.0 | -4.0 | -3.0 | -4.0
2 | 0 | 0 | 1229 | -1.0 | -3.0 | -2.0 | -3.0
1 | 0 | 0 | 1233 | 0.0 | -2.0 | -1.0 | -2.0
1 | 1 | 0 | 3843 | -1.0 | -3.0 | -1.0 | -3.0
1 | 3 | 0 | 4769 | -3.0 | -5.0 | -3.0 | -5.0
1 | 2 | 0 | 4374 | -2.0 | -4.0 | -2.0 | -4.0
