feat 0 | feat 1 | feat 2 | feat 3 | feat 4 | brake | releasebrake | Q | 
26.666666666666668 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 
26.666666666666668 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 
28.51 | 0 | 0 | 0.1 | 0 | 1 | 0 | -8345.28 | 
28.51 | 0 | 0 | 0.1 | 0 | 0 | 1 | -926.32 | 
30.51 | 0 | 0 | 0.2 | 0 | 1 | 0 | -8588.25 | 
30.51 | 0 | 0 | 0.2 | 0 | 0 | 1 | -936.45 | 
32.51 | 0 | 0 | 0.3 | 0 | 1 | 0 | -9572.42 | 
32.51 | 0 | 0 | 0.3 | 0 | 0 | 1 | -946.95 | 
34.51 | 0 | 0 | 0.4 | 0 | 1 | 0 | -959.98 | 
34.51 | 0 | 0 | 0.4 | 0 | 0 | 1 | -6104.03 | 
36.51 | 0 | 0 | 0.5 | 0 | 1 | 0 | -6309.43 | 
36.51 | 0 | 0 | 0.5 | 0 | 0 | 1 | -977.86 | 
38.51 | 0 | 0 | 0.6 | 0 | 1 | 0 | -7479.51 | 
38.51 | 0 | 0 | 0.6 | 0 | 0 | 1 | -999.84 | 
40.51 | 0 | 0 | 0.7 | 0 | 1 | 0 | -5671.63 | 
40.51 | 0 | 0 | 0.7 | 0 | 0 | 1 | -1025.13 | 
41.51 | 0 | 0 | 0.8 | 0 | 1 | 0 | -1052.09 | 
41.51 | 0 | 0 | 0.8 | 0 | 0 | 1 | -5805.68 | 
42.51 | 0 | 0 | 0.9 | 0 | 1 | 0 | -5973.26 | 
42.51 | 0 | 0 | 0.9 | 0 | 0 | 1 | -1079.75 | 
43.51 | 0 | 0 | 1.0 | 0 | 1 | 0 | -1105.19 | 
43.51 | 0 | 0 | 1.0 | 0 | 0 | 1 | -6085.42 | 
44.51 | 0 | 0 | 1.1 | 0 | 1 | 0 | -6210.07 | 
44.51 | 0 | 0 | 1.1 | 0 | 0 | 1 | -1128.05 | 
45.51 | 0 | 0 | 1.2 | 0 | 1 | 0 | -1146.69 | 
45.51 | 0 | 0 | 1.2 | 0 | 0 | 1 | -5170.26 | 
46.51 | 0 | 0 | 1.3 | 0 | 1 | 0 | -1162.23 | 
46.51 | 0 | 0 | 1.3 | 0 | 0 | 1 | -5933.65 | 
47.51 | 0 | 0 | 1.4 | 0 | 1 | 0 | -6677.53 | 
47.51 | 0 | 0 | 1.4 | 0 | 0 | 1 | -1175.43 | 
48.51 | 0 | 0 | 1.5 | 0 | 1 | 0 | -6865.3 | 
48.51 | 0 | 0 | 1.5 | 0 | 0 | 1 | -1186.47 | 
49.51 | 0 | 0 | 1.6 | 0 | 1 | 0 | -1196.67 | 
49.51 | 0 | 0 | 1.6 | 0 | 0 | 1 | -7048.42 | 
50.51 | 0 | 0 | 1.7 | 0 | 1 | 0 | -7252.26 | 
50.51 | 0 | 0 | 1.7 | 0 | 0 | 1 | -1208.22 | 
51.51 | 0 | 0 | 1.8 | 0 | 1 | 0 | -1220.98 | 
51.51 | 0 | 0 | 1.8 | 0 | 0 | 1 | -7430.31 | 
52.51 | 0 | 0 | 1.9 | 0 | 1 | 0 | -1236.28 | 
52.51 | 0 | 0 | 1.9 | 0 | 0 | 1 | -6512.9 | 
52.51 | 0 | 0 | 2.0 | 0 | 1 | 0 | -10859.29 | 
52.51 | 0 | 0 | 2.0 | 0 | 0 | 1 | -10935.07 | 
52.51 | 0 | 0 | 2.1 | 0 | 1 | 0 | -8616.61 | 
52.51 | 0 | 0 | 2.1 | 0 | 0 | 1 | -11306.77 | 
52.51 | 0 | 0 | 2.2 | 0 | 1 | 0 | -7899.95 | 
52.51 | 0 | 0 | 2.2 | 0 | 0 | 1 | -12114.06 | 
52.51 | 0 | 0 | 2.3 | 0 | 1 | 0 | -12583.92 | 
52.51 | 0 | 0 | 2.3 | 0 | 0 | 1 | -13601.17 | 
52.51 | 0 | 0 | 2.4 | 1 | 1 | 0 | 0 | 
52.51 | 0 | 0 | 2.4 | 1 | 0 | 1 | 0 | 
33.51 | 0 | 0 | 0.4 | 0 | 1 | 0 | -11262.75 | 
33.51 | 0 | 0 | 0.4 | 0 | 0 | 1 | -10839.82 | 
35.51 | 0 | 0 | 0.5 | 0 | 1 | 0 | -12778.79 | 
35.51 | 0 | 0 | 0.5 | 0 | 0 | 1 | -10769.51 | 
37.51 | 0 | 0 | 0.6 | 0 | 1 | 0 | -10747.72 | 
37.51 | 0 | 0 | 0.6 | 0 | 0 | 1 | -11193.94 | 
38.51 | 0 | 0 | 0.7 | 0 | 1 | 0 | -10797.82 | 
38.51 | 0 | 0 | 0.7 | 0 | 0 | 1 | -11213.42 | 
39.51 | 0 | 0 | 0.8 | 0 | 1 | 0 | -10919.06 | 
39.51 | 0 | 0 | 0.8 | 0 | 0 | 1 | -11484.73 | 
40.51 | 0 | 0 | 0.9 | 0 | 1 | 0 | -11310.16 | 
40.51 | 0 | 0 | 0.9 | 0 | 0 | 1 | -11081.24 | 
41.51 | 0 | 0 | 1.0 | 0 | 1 | 0 | -11268.65 | 
41.51 | 0 | 0 | 1.0 | 0 | 0 | 1 | -11233.62 | 
42.51 | 0 | 0 | 1.1 | 0 | 1 | 0 | -11333.55 | 
42.51 | 0 | 0 | 1.1 | 0 | 0 | 1 | -11347.33 | 
43.51 | 0 | 0 | 1.2 | 0 | 1 | 0 | -11453.43 | 
43.51 | 0 | 0 | 1.2 | 0 | 0 | 1 | -11465.29 | 
44.51 | 0 | 0 | 1.3 | 0 | 1 | 0 | -11578.74 | 
44.51 | 0 | 0 | 1.3 | 0 | 0 | 1 | -11590.43 | 
45.51 | 0 | 0 | 1.4 | 0 | 1 | 0 | -12129.41 | 
45.51 | 0 | 0 | 1.4 | 0 | 0 | 1 | -11669.45 | 
46.51 | 0 | 0 | 1.5 | 0 | 1 | 0 | -11705.1 | 
46.51 | 0 | 0 | 1.5 | 0 | 0 | 1 | -11710.75 | 
