Statefeat0|Statefeat1|terminal|up|down|left|right|visited
0|0|1|0.0|0.0|0.0|0.0|1824
0|1|0|-1.0|-2.0|0.0|-2.0|2397
0|2|0|-2.0|-3.0|-1.0|-3.0|1445
0|3|0|-3.0|-4.0|-2.0|-4.0|1279
0|4|0|-4.0|-5.0|-3.0|-5.0|1111
0|5|0|-5.0|-6.0|-4.0|-6.0|965
0|6|0|-6.0|-7.0|-5.0|-7.0|755
0|7|0|-7.0|-8.0|-6.0|-8.0|563
0|8|0|-8.0|-9.0|-7.0|-9.0|454
0|9|0|-9.0|-8.0|-8.0|-9.0|413
1|0|0|0.0|-2.0|-1.0|-2.0|757
1|1|0|-1.0|-3.0|-1.0|-3.0|2280
1|2|0|-2.0|-4.0|-2.0|-4.0|2334
1|3|0|-3.0|-5.0|-3.0|-5.0|2286
1|4|0|-4.0|-6.0|-4.0|-6.0|2175
1|5|0|-5.0|-7.0|-5.0|-7.0|1923
1|6|0|-6.0|-8.0|-6.0|-8.0|824
1|7|0|-7.0|-9.0|-7.0|-9.0|572
1|8|0|-8.0|-8.0|-8.0|-8.0|426
1|9|0|-9.0|-7.0|-9.0|-8.0|453
2|0|0|-1.0|-3.0|-2.0|-3.0|842
2|1|0|-2.0|-4.0|-2.0|-4.0|998
2|2|0|-3.0|-5.0|-3.0|-5.0|1044
2|3|0|-4.0|-6.0|-4.0|-6.0|1059
2|4|0|-5.0|-7.0|-5.0|-7.0|1198
2|5|0|-6.0|-8.0|-6.0|-8.0|2008
2|6|0|-7.0|-9.0|-7.0|-9.0|796
2|7|0|-8.0|-8.0|-8.0|-8.0|573
2|8|0|-9.0|-7.0|-9.0|-7.0|531
2|9|0|-8.0|-6.0|-8.0|-7.0|542
3|0|0|-2.0|-4.0|-3.0|-4.0|876
3|1|0|-3.0|-5.0|-3.0|-5.0|852
3|2|0|-4.0|-6.0|-4.0|-6.0|866
3|3|0|-5.0|-7.0|-5.0|-7.0|943
3|4|0|-6.0|-8.0|-6.0|-8.0|1163
3|5|0|-7.0|-9.0|-7.0|-9.0|2287
3|6|0|-8.0|-8.0|-8.0|-8.0|790
3|7|0|-9.0|-7.0|-9.0|-7.0|682
3|8|0|-8.0|-6.0|-8.0|-6.0|676
3|9|0|-7.0|-5.0|-7.0|-6.0|683
