Sequences 100
stateIndex|stateFeatures|state|reward|actionIndex|greed
28|[4, 5, 0]|(4, 5)|-1|0|r
0|[5, 5, 0]|(5, 5)|-2|1|r
52|[5, 6, 0]|(5, 6)|-3|3|r
53|[5, 7, 0]|(5, 7)|-4|3|r
54|[5, 8, 0]|(5, 8)|-5|3|r
55|[5, 9, 0]|(5, 9)|-6|3|r
54|[5, 8, 0]|(5, 8)|-7|2|r
56|[6, 8, 0]|(6, 8)|-8|1|r
57|[6, 9, 0]|(6, 9)|-9|3|r
56|[6, 8, 0]|(6, 8)|-10|2|r
57|[6, 9, 0]|(6, 9)|-11|3|r
56|[6, 8, 0]|(6, 8)|-12|2|r
54|[5, 8, 0]|(5, 8)|-13|0|r
55|[5, 9, 0]|(5, 9)|-14|3|r
55|[5, 9, 0]|(5, 9)|-15|3|r
58|[4, 9, 0]|(4, 9)|-16|0|r
55|[5, 9, 0]|(5, 9)|-17|1|r
55|[5, 9, 0]|(5, 9)|-18|3|r
57|[6, 9, 0]|(6, 9)|-19|1|r
55|[5, 9, 0]|(5, 9)|-20|0|r
58|[4, 9, 0]|(4, 9)|-21|0|r
58|[4, 9, 0]|(4, 9)|-22|3|r
59|[4, 8, 0]|(4, 8)|-23|2|r
60|[3, 8, 0]|(3, 8)|-24|0|r
61|[3, 7, 0]|(3, 7)|-25|2|r
60|[3, 8, 0]|(3, 8)|-26|3|r
59|[4, 8, 0]|(4, 8)|-27|1|r
60|[3, 8, 0]|(3, 8)|-28|0|r
62|[3, 9, 0]|(3, 9)|-29|3|r
58|[4, 9, 0]|(4, 9)|-30|1|r
55|[5, 9, 0]|(5, 9)|-31|1|r
55|[5, 9, 0]|(5, 9)|-32|3|r
55|[5, 9, 0]|(5, 9)|-33|3|r
55|[5, 9, 0]|(5, 9)|-34|3|r
57|[6, 9, 0]|(6, 9)|-35|1|r
57|[6, 9, 0]|(6, 9)|-36|3|r
55|[5, 9, 0]|(5, 9)|-37|0|r
54|[5, 8, 0]|(5, 8)|-38|2|r
53|[5, 7, 0]|(5, 7)|-39|2|r
63|[6, 7, 0]|(6, 7)|-40|1|r
27|[6, 6, 0]|(6, 6)|-41|2|r
1|[6, 5, 0]|(6, 5)|-42|2|r
0|[5, 5, 0]|(5, 5)|-43|0|r
